Date,exchange_rate
2025-01-01,83.68
2025-01-02,83.25
2025-01-03,83.71
2025-01-06,84.52
2025-01-07,84.17
2025-01-08,84.05
2025-01-09,84.09
2025-01-10,83.92
2025-01-13,84.02
2025-01-14,84.89
2025-01-15,84.52
2025-01-16,83.1
2025-01-17,84.59
2025-01-20,83.33
2025-01-21,84.12
2025-01-22,84.89
2025-01-23,83.06
2025-01-24,84.06
2025-01-27,84.07
2025-01-28,84.34
2025-01-29,84.37
2025-01-30,83.49
2025-01-31,84.98
2025-02-03,83.93
2025-02-04,84.55
2025-02-05,83.88
2025-02-06,84.62
2025-02-07,84.17
2025-02-10,84.2
2025-02-11,83.53
2025-02-12,84.15
2025-02-13,84.62
2025-02-14,83.57
2025-02-17,83.5
2025-02-18,84.77
2025-02-19,84.32
2025-02-20,84.33
2025-02-21,83.67
2025-02-24,84.62
2025-02-25,84.55
2025-02-26,83.93
2025-02-27,84.03
2025-02-28,83.5
2025-03-03,84.38
2025-03-04,84.73
2025-03-05,83.34
2025-03-06,83.22
2025-03-07,84.5
2025-03-10,83.69
2025-03-11,84.24
2025-03-12,83.2
2025-03-13,84.49
2025-03-14,83.25
2025-03-17,83.25
2025-03-18,84.12
2025-03-19,84.86
2025-03-20,84.53
2025-03-21,84.13
2025-03-24,83.52
2025-03-25,83.29
2025-03-26,83.51
2025-03-27,84.95
2025-03-28,83.78
2025-03-31,84.07
2025-04-01,83.14
2025-04-02,84.56
2025-04-03,84.55
2025-04-04,83.52
2025-04-07,83.03
2025-04-08,84.13
2025-04-09,84.97
2025-04-10,84.34
2025-04-11,84.79
2025-04-14,84.69
2025-04-15,83.01
2025-04-16,84.84
2025-04-17,83.05
2025-04-18,83.41
2025-04-21,83.42
2025-04-22,83.35
2025-04-23,84.96
2025-04-24,84.78
2025-04-25,84.26
2025-04-28,83.9
2025-04-29,84.03
2025-04-30,83.91
2025-05-01,83.55
2025-05-02,83.21
2025-05-05,84.3
2025-05-06,84.84
2025-05-07,84.84
2025-05-08,84.02
2025-05-09,83.73
2025-05-12,84.6
2025-05-13,84.5
2025-05-14,84.52
2025-05-15,83.8
2025-05-16,83.62
2025-05-19,84.85
2025-05-20,83.33
2025-05-21,84.58
2025-05-22,83.64
2025-05-23,84.36
2025-05-26,84.66
2025-05-27,83.58
2025-05-28,83.23
2025-05-29,83.21
2025-05-30,83.63
2025-06-02,83.58
2025-06-03,84.29
2025-06-04,84.9
2025-06-05,83.11
2025-06-06,83.97
2025-06-09,83.38
2025-06-10,84.34
2025-06-11,84.15
2025-06-12,84.97
2025-06-13,84.55
2025-06-16,83.79
2025-06-17,83.95
2025-06-18,84.08
2025-06-19,84.56
2025-06-20,84.39
2025-06-23,83.26
2025-06-24,83.32
2025-06-25,84.84
2025-06-26,84.48
2025-06-27,83.32
2025-06-30,84.71
