transaction_id,user_id,amount,transaction_date,currency
TXN00001,117,4279.84,2025-01-26,EUR
TXN00002,126,1716.44,2025-02-03,EUR
TXN00003,128,3639.62,2025-06-24,EUR
TXN00004,129,85.5,2025-04-09,EUR
TXN00005,191,4160.22,2025-05-21,EUR
TXN00006,193,1161.44,2025-06-16,EUR
TXN00007,131,2794.82,2025-04-23,EUR
TXN00008,168,1312.73,2025-03-26,EUR
TXN00009,193,4965.59,2025-04-04,EUR
TXN00010,145,4528.88,2025-06-16,EUR
TXN00011,131,1334.76,2025-06-03,EUR
TXN00012,140,211.96,2025-06-22,EUR
TXN00013,176,1622.39,2025-03-03,EUR
TXN00014,121,2757.65,2025-06-14,EUR
TXN00015,133,3847.88,2025-06-05,EUR
TXN00016,128,524.04,2025-02-11,EUR
TXN00017,145,1316.38,2025-02-19,EUR
TXN00018,143,3026.61,2025-02-23,EUR
TXN00019,173,682.01,2025-04-18,EUR
TXN00020,102,16.23,2025-04-02,EUR
TXN00021,152,3264.5,2025-05-03,EUR
TXN00022,176,4052.17,2025-06-22,EUR
TXN00023,171,4619.16,2025-01-10,EUR
TXN00024,190,577.12,2025-05-25,EUR
TXN00025,140,3524.33,2025-05-27,EUR
TXN00026,166,444.71,2025-06-26,EUR
TXN00027,168,284.26,2025-02-15,EUR
TXN00028,180,1381.07,2025-03-11,EUR
TXN00029,190,124.96,2025-05-15,EUR
TXN00030,175,1492.39,2025-01-01,EUR
TXN00031,152,3556.09,2025-01-03,EUR
TXN00032,151,2784.55,2025-04-20,EUR
TXN00033,171,720.1,2025-01-15,EUR
TXN00034,194,3135.41,2025-04-10,EUR
TXN00035,147,376.97,2025-03-20,EUR
TXN00036,125,1420.63,2025-05-22,EUR
TXN00037,190,1702.51,2025-04-05,EUR
TXN00038,139,493.98,2025-03-20,EUR
TXN00039,139,2921.08,2025-01-25,EUR
TXN00040,122,4469.5,2025-04-02,EUR
TXN00041,173,548.57,2025-05-16,EUR
TXN00042,120,1861.77,2025-06-26,EUR
TXN00043,156,2700.74,2025-05-19,EUR
TXN00044,138,1160.21,2025-02-18,EUR
TXN00045,184,2394.63,2025-06-27,EUR
TXN00046,164,581.59,2025-02-16,EUR
TXN00047,163,4050.43,2025-02-15,EUR
TXN00048,124,501.92,2025-05-10,EUR
TXN00049,200,2409.89,2025-01-01,EUR
TXN00050,149,3521.38,2025-05-12,EUR
TXN00051,193,3008.89,2025-04-19,EUR
TXN00052,125,3623.85,2025-03-04,EUR
TXN00053,189,3253.9,2025-06-03,EUR
TXN00054,134,1866.63,2025-02-20,EUR
TXN00055,174,3911.41,2025-04-07,EUR
TXN00056,127,556.69,2025-02-22,EUR
TXN00057,153,4670.39,2025-01-09,EUR
TXN00058,186,3400.57,2025-04-07,EUR
TXN00059,142,1383.93,2025-06-30,EUR
TXN00060,153,2431.44,2025-02-06,EUR
TXN00061,158,4695.39,2025-02-03,EUR
TXN00062,169,3137.56,2025-02-14,EUR
TXN00063,168,1615.47,2025-01-16,EUR
TXN00064,113,4037.41,2025-04-15,EUR
TXN00065,141,2424.55,2025-01-02,EUR
TXN00066,175,4062.02,2025-05-20,EUR
TXN00067,145,4548.56,2025-02-09,EUR
TXN00068,167,1881.95,2025-01-20,EUR
TXN00069,126,2335.34,2025-05-11,EUR
TXN00070,168,1576.17,2025-03-15,EUR
TXN00071,184,3763.77,2025-04-07,EUR
TXN00072,145,1796.94,2025-03-18,EUR
TXN00073,197,1240.94,2025-02-09,EUR
TXN00074,108,3986.81,2025-05-25,EUR
TXN00075,151,4762.46,2025-01-10,EUR
TXN00076,185,4695.28,2025-06-29,EUR
TXN00077,110,2291.22,2025-01-28,EUR
TXN00078,165,1955.03,2025-06-30,EUR
TXN00079,164,3722.03,2025-06-30,EUR
TXN00080,104,1095.62,2025-02-13,EUR
TXN00081,191,1498.91,2025-02-24,EUR
TXN00082,165,4234.94,2025-03-06,EUR
TXN00083,160,2904.14,2025-01-10,EUR
TXN00084,160,1177.23,2025-06-09,EUR
TXN00085,121,3440.05,2025-06-15,EUR
TXN00086,157,3587.9,2025-01-13,EUR
TXN00087,145,2417.69,2025-01-09,EUR
TXN00088,155,691.6,2025-05-03,EUR
TXN00089,113,4358.71,2025-03-04,EUR
TXN00090,104,1639.16,2025-02-02,EUR
TXN00091,167,3237.55,2025-03-11,EUR
TXN00092,189,4083.31,2025-04-07,EUR
TXN00093,116,2941.65,2025-04-19,EUR
TXN00094,191,4657.91,2025-01-04,EUR
TXN00095,173,4323.06,2025-05-28,EUR
TXN00096,119,3250.0,2025-03-24,EUR
TXN00097,144,81.67,2025-01-07,EUR
TXN00098,141,1752.77,2025-05-06,EUR
TXN00099,144,636.0,2025-01-13,EUR
TXN00100,161,1350.55,2025-02-21,EUR
TXN00101,185,3408.07,2025-01-09,EUR
TXN00102,189,2774.06,2025-06-14,EUR
TXN00103,158,138.15,2025-02-18,EUR
TXN00104,155,2893.76,2025-05-17,EUR
TXN00105,190,1779.86,2025-04-25,EUR
TXN00106,186,1404.07,2025-03-11,EUR
TXN00107,115,4059.75,2025-02-03,EUR
TXN00108,124,2726.45,2025-01-14,EUR
TXN00109,114,2062.62,2025-03-16,EUR
TXN00110,184,2584.66,2025-02-27,EUR
TXN00111,102,785.2,2025-06-27,EUR
TXN00112,149,4403.1,2025-02-04,EUR
TXN00113,193,1091.12,2025-03-23,EUR
TXN00114,119,4070.73,2025-03-01,EUR
TXN00115,148,3938.76,2025-04-19,EUR
TXN00116,161,2591.19,2025-03-21,EUR
TXN00117,121,430.27,2025-05-07,EUR
TXN00118,130,1070.1,2025-05-06,EUR
TXN00119,135,2679.49,2025-01-04,EUR
TXN00120,138,1579.51,2025-06-13,EUR
TXN00121,120,4280.23,2025-04-10,EUR
TXN00122,126,3827.43,2025-04-05,EUR
TXN00123,125,4965.81,2025-02-25,EUR
TXN00124,155,797.65,2025-03-16,EUR
TXN00125,119,3315.44,2025-03-20,EUR
TXN00126,146,2662.92,2025-03-15,EUR
TXN00127,189,4222.56,2025-01-17,EUR
TXN00128,166,1602.16,2025-01-01,EUR
TXN00129,200,2928.78,2025-02-09,EUR
TXN00130,134,326.48,2025-06-11,EUR
TXN00131,152,4067.34,2025-03-30,EUR
